# 120Sn(p,p)120Sn Ep=16 MeV, 30 LaBr3 OSCAR detectors, 16.3 cm from target
# E[MeV]   f[MeV^-3]   upper_total_err[MeV^-3]   lower_total_err[MeV^3]   stat_err[MeV^-3]
1.280   7.375E-09   1.568E-09   1.538E-09  2.37E-10
1.408   1.432E-08   3.040E-09   2.975E-09  3.66E-10
1.536   1.388E-08   2.960E-09   2.891E-09  3.81E-10
1.664   1.184E-08   2.534E-09   2.469E-09  3.28E-10
1.792   1.011E-08   2.172E-09   2.112E-09  2.84E-10
1.920   1.129E-08   2.437E-09   2.366E-09  3.39E-10
2.048   1.136E-08   2.453E-09   2.376E-09  2.62E-10
2.176   1.532E-08   3.333E-09   3.222E-09  4.42E-10
2.304   1.348E-08   2.948E-09   2.845E-09  4.22E-10
2.432   1.304E-08   2.857E-09   2.751E-09  3.42E-10
2.560   1.154E-08   2.547E-09   2.448E-09  3.47E-10
2.688   1.263E-08   2.800E-09   2.686E-09  3.72E-10
2.816   1.289E-08   2.872E-09   2.750E-09  3.87E-10
2.944   1.554E-08   3.487E-09   3.334E-09  5.13E-10
3.072   1.430E-08   3.222E-09   3.074E-09  4.46E-10
3.200   1.035E-08   2.347E-09   2.235E-09  3.34E-10
3.328   1.250E-08   2.849E-09   2.709E-09  3.96E-10
3.456   1.238E-08   2.831E-09   2.686E-09  3.32E-10
3.584   1.174E-08   2.709E-09   2.566E-09  3.73E-10
3.712   1.456E-08   3.384E-09   3.200E-09  5.00E-10
3.840   1.436E-08   3.356E-09   3.168E-09  4.67E-10
3.968   1.484E-08   3.488E-09   3.286E-09  4.76E-10
4.096   1.212E-08   2.877E-09   2.707E-09  4.51E-10
4.224   1.110E-08   2.653E-09   2.491E-09  4.08E-10
4.352   1.208E-08   2.907E-09   2.725E-09  4.46E-10
4.480   2.868E-08   6.941E-09   6.494E-09  1.02E-09
4.608   1.945E-08   4.737E-09   4.423E-09  6.76E-10
4.736   1.692E-08   4.149E-09   3.867E-09  5.82E-10
4.864   1.817E-08   4.502E-09   4.190E-09  7.14E-10
4.992   1.613E-08   4.028E-09   3.743E-09  6.48E-10
5.120   1.770E-08   4.451E-09   4.128E-09  7.05E-10
5.248   2.008E-08   5.085E-09   4.706E-09  7.81E-10
5.376   2.822E-08   7.213E-09   6.666E-09  1.18E-09
5.504   3.822E-08   9.839E-09   9.074E-09  1.56E-09
5.632   4.731E-08   1.227E-08   1.129E-08  1.91E-09
5.760   4.742E-08   1.240E-08   1.139E-08  1.97E-09
5.888   6.548E-08   1.726E-08   1.583E-08  2.73E-09
6.016   7.021E-08   1.863E-08   1.705E-08  2.77E-09
6.144   9.409E-08   2.520E-08   2.302E-08  3.93E-09
6.272   9.048E-08   2.443E-08   2.227E-08  3.79E-09
6.400   1.169E-07   3.183E-08   2.896E-08  4.95E-09
6.528   9.999E-08   2.746E-08   2.494E-08  4.35E-09
6.656   1.232E-07   3.409E-08   3.089E-08  5.17E-09
6.784   1.396E-07   3.910E-08   3.539E-08  6.78E-09
6.912   1.243E-07   3.497E-08   3.156E-08  5.30E-09
7.040   1.640E-07   4.664E-08   4.202E-08  7.67E-09
7.168   1.572E-07   4.507E-08   4.052E-08  7.25E-09
7.296   1.596E-07   4.609E-08   4.134E-08  7.15E-09
7.424   1.527E-07   4.465E-08   4.000E-08  7.90E-09
7.552   1.661E-07   4.895E-08   4.377E-08  8.48E-09
7.680   1.822E-07   5.423E-08   4.840E-08  9.73E-09
7.808   1.782E-07   5.380E-08   4.798E-08  1.11E-08
7.936   2.340E-07   7.096E-08   6.308E-08  1.32E-08
8.064   2.457E-07   7.518E-08   6.669E-08  1.40E-08
8.192   2.937E-07   9.091E-08   8.054E-08  1.83E-08
8.320   2.691E-07   8.468E-08   7.501E-08  1.98E-08
8.448   2.345E-07   7.533E-08   6.681E-08  2.10E-08
8.576   2.415E-07   7.903E-08   7.013E-08  2.43E-08
8.704   2.111E-07   7.103E-08   6.323E-08  2.55E-08
8.832   2.174E-07   7.377E-08   6.553E-08  2.64E-08
8.960   2.175E-07   7.586E-08   6.759E-08  3.04E-08
9.088   1.702E-07   6.665E-08   6.076E-08  3.78E-08
