# 120Sn(p,p)120Sn Ep=16 MeV, 30 LaBr3 OSCAR detectors, 16.3 cm from target
# E[MeV]   rho[MeV^-1]   upper_total_err[MeV^-1]   lower_total_err[MeV^-1]  
-0.384   0.01710000   0.00140000   0.00120000
-0.256   0.06220000   0.00540000   0.00460000
-0.128   0.54180000   0.03710000   0.02890000
0.0000   1.12800000   0.07290000   0.05650000
0.1280   0.63030000   0.03880000   0.03030000
0.2560   0.19810000   0.01200000   0.00960000
0.3840   0.12500000   0.00770000   0.00640000
0.5120   0.14350000   0.00890000   0.00760000
0.6400   0.17380000   0.01160000   0.01040000
0.7680   0.25420000   0.01870000   0.01740000
0.8960   0.50350000   0.03240000   0.02980000
1.0240   2.27230000   0.09660000   0.08110000
1.1520   5.80760000   0.20840000   0.16900000
1.2800   3.96900000   0.13390000   0.11090000
1.4080   1.18880000   0.04370000   0.03890000
1.5360   0.91160000   0.04110000   0.03880000
1.6640   1.15340000   0.05610000   0.05410000
1.7920   2.01970000   0.09480000   0.09220000
1.9200   4.31000000   0.15170000   0.14680000
2.0480   10.1253000   0.26870000   0.25940000
2.1760   18.7801000   0.43340000   0.42300000
2.3040   26.8475000   0.58770000   0.58160000
2.4320   36.5724000   0.59730000   0.59550000
2.5600   33.9241000   0.61820000   0.61840000
2.6880   36.8356000   0.72150000   0.72660000
2.8160   40.0289000   0.79160000   0.80860000
2.9440   40.9755000   0.74010000   0.77830000
3.0720   54.8088000   1.20250000   1.27260000
3.2000   77.3114000   1.83660000   1.97240000
3.3280   96.1674000   2.30600000   2.53600000
3.4560   112.251000   2.87770000   3.20790000
3.5840   151.803000   4.06040000   4.59890000
3.7120   196.900000   5.73020000   6.52100000
3.8400   238.728000   7.87030000   8.89520000
3.9680   276.527000   10.0156000   11.2967000
4.0960   320.794000   12.3938000   14.0148000
4.2240   381.102000   15.2587000   17.3857000
4.3520   464.823000   20.0683000   22.8037000
4.4800   546.082000   25.3376000   28.7064000
4.6080   604.375000   28.8036000   32.8358000
4.7360   703.212000   36.1953000   41.0146000
4.8640   793.498000   43.4079000   49.0352000
4.9920   928.807000   52.3208000   59.2901000
5.1200   1137.31000   67.2126000   76.0570000
5.2480   1364.75000   84.9877000   95.8680000
5.3760   1590.77000   103.744200   116.758600
5.5040   1948.47000   132.448500   148.811600
5.6320   2391.30000   172.432600   192.661800
5.7600   2856.64000   208.897800   234.139400
5.8880   3434.21000   260.414600   291.382400
6.0160   4070.42000   328.543200   365.018200
6.1440   4842.78000   400.880000   445.304600
6.2720   5467.68000   470.168600   520.808200
6.4000   6767.53000   608.895400   671.597500
6.5280   8197.56000   767.123000   843.302700
6.6560   9499.42000   915.094200   1004.24120
6.7840   11256.1000   1110.85540   1217.67610
6.9120   13998.1000   1430.53680   1563.43700
7.0400   15912.0000   1702.64660   1851.68230
7.1680   18299.9000   2078.46730   2245.08590
7.2960   21952.6000   2642.36780   2836.68200
7.4240   26682.3000   3216.79730   3457.78050
7.5520   32997.7000   4332.38460   4613.45090
7.6800   32962.5000   5410.05120   5641.45720
7.8080   54076.0000   13162.7909   13426.0742
